"WHOHIVAdaptationKitModel.patient.alternateContact","","","",0,1,"","","","BackboneElement {[]} {[]}
","Alternate contact ","An alternate contact, which could be next of kin (e.g. partner, husband, mother, sibling, etc.). The alternate contact would be used in the case of an emergency situation.","","","","","","","","","",,,,,"",,,,"WHOHIVAdaptationKitModel.patient.alternateContact",0,1,"",""
"WHOHIVAdaptationKitModel.patient.alternateContact.name","","","",0,1,"","","","string {[]} {[]}
","Alternate contact's name ","Name of alternate contact","","","","","","","","","",,,,,"",,,,"WHOHIVAdaptationKitModel.patient.alternateContact.name",0,1,"",""
"WHOHIVAdaptationKitModel.patient.alternateContact.phoneNumber","","","",0,1,"","","","string {[]} {[]}
","Alternate contact's phone number","Phone number of the alternate contact.","","","","","","","","","",,,,,"",,,,"WHOHIVAdaptationKitModel.patient.alternateContact.phoneNumber",0,1,"",""
"WHOHIVAdaptationKitModel.patient.alternateContact.address","","","",0,1,"","","","string {[]} {[]}
","Alternate contact's address","Alternate contact's home address or address at which the client able to disclose.","","","","","","","","","",,,,,"",,,,"WHOHIVAdaptationKitModel.patient.alternateContact.address",0,1,"",""
"WHOHIVAdaptationKitModel.patient.alternateContact.relationship","","","",0,1,"","","","code {[]} {[]}
","Alternate contact relationship","The alternate contact's relationship to the client (e.g. partner, husband, mother, sibling, etc.).","","","","","","","","","",,,,,"",,,,"WHOHIVAdaptationKitModel.patient.alternateContact.relationship",0,1,"",""
"WHOHIVAdaptationKitModel.visit","","","",1,*,"","","","BackboneElement {[]} {[]}
","Visit","Patient's visits","","","","","","","","","",,,,,"",,,,"WHOHIVAdaptationKitModel.visit",1,*,"",""
"WHOHIVAdaptationKitModel.visit.date","","","",1,1,"","","","date {[]} {[]}
","Visit date","The date and time of the client's visit","","","","","","","","","",,,,,"",,,,"WHOHIVAdaptationKitModel.visit.date",1,1,"",""
"WHOHIVAdaptationKitModel.visit.referral","","","",1,*,"","","","BackboneElement {[]} {[]}
","Referral","If client was referred for care","","","","","","","","","",,,,,"",,,,"WHOHIVAdaptationKitModel.visit.referral",1,*,"",""
"WHOHIVAdaptationKitModel.visit.referral.referred","","","",0,1,"","","","boolean {[]} {[]}
","Referred","If client was referred for care","","","","","","","","","",,,,,"",,,,"WHOHIVAdaptationKitModel.visit.referral.referred",0,1,"",""
"WHOHIVAdaptationKitModel.visit.referral.referrer","","","",0,1,"","","","string {[]} {[]}
","Referred by","Referred by the Community level services / health facility","","","","","","","","","",,,,,"",,,,"WHOHIVAdaptationKitModel.visit.referral.referrer",0,1,"",""
"WHOHIVAdaptationKitModel.visit.reason","","","",1,1,"","","","BackboneElement {[]} {[]}
","Reason for HIV testing services visit","","","","","","","","","","",,,,,"",,,,"WHOHIVAdaptationKitModel.visit.reason",1,1,"",""
"WHOHIVAdaptationKitModel.visit.firstTimeHIVTest","","","",0,1,"","","","boolean {[]} {[]}
","First encounter for screening for human immunodeficiency virus","First encounter for screening for human immunodeficiency virus","","","","","","","","","",,,,,"",,,,"WHOHIVAdaptationKitModel.visit.firstTimeHIVTest",0,1,"",""
"WHOHIVAdaptationKitModel.visit.hivRetest","","","",0,1,"","","","boolean {[]} {[]}
","Retesting for human immunodeficiency virus","Retesting for human immunodeficiency virus","","","","","","","","","",,,,,"",,,,"WHOHIVAdaptationKitModel.visit.hivRetest",0,1,"",""
"WHOHIVAdaptationKitModel.visit.referredByPartnerServices","","","",1,1,"","","","BackboneElement {[]} {[]}
","Referred through partner services ","Client reported coming to the facility after receiving a provider-assisted referral or patient referral from a contact or partner.","","","","","","","","","",,,,,"",,,,"WHOHIVAdaptationKitModel.visit.referredByPartnerServices",1,1,"",""
"WHOHIVAdaptationKitModel.visit.referredByPartnerServices.indexCase","","","",0,1,"","","","boolean {[]} {[]}
","Partner or contact of an index case","The client is a contact or partner of a person diagnosed with HIV (an index case).","","","","","","","","","",,,,,"",,,,"WHOHIVAdaptationKitModel.visit.referredByPartnerServices.indexCase",0,1,"",""
"WHOHIVAdaptationKitModel.visit.referredByPartnerServices.non-indexCase","","","",0,1,"","","","boolean {[]} {[]}
","Partner or contact of an HIV testing client (non-index case)","The client is a contact or partner identified through partner or social network services, but is not known to be a partner of an index-case.","","","","","","","","","",,,,,"",,,,"WHOHIVAdaptationKitModel.visit.referredByPartnerServices.non-indexCase",0,1,"",""
"WHOHIVAdaptationKitModel.visit.referredByPartnerServices.typeOfContact","","","",0,1,"","","","coding {[]} {[]}
","Type of contact or partner for partner services","Client's relationship to the person that referred the client for partner services or family services","","","","","","","","","",,"extensible","","vs-type-of-contact","",,,,"WHOHIVAdaptationKitModel.visit.referredByPartnerServices.typeOfContact",0,1,"",""
"WHOHIVAdaptationKitModel.visit.referredByPartnerServices.typeOfContact.exposureToHIV.date","","","",0,1,"","","","date {[]} {[]}
","DateTime of suspected exposure to HIV","Date and time when the client had suspected exposure to HIV","","","","","","","","","",,,,,"",,,,"WHOHIVAdaptationKitModel.visit.referredByPartnerServices.typeOfContact.exposureToHIV.date",0,1,"",""
